id,prediction
0,8.904353
1,12.736389
2,7.20225
3,49.724525
4,353.15793
5,1118.2275
6,2135.3804
7,2904.5374
8,3334.62
9,3536.5093
10,3442.1814
11,3111.289
12,2538.7214
13,2240.4058
14,2272.746
15,1591.7642
16,1073.428
17,546.6797
18,178.26575
19,0.0
20,17.280615
21,2.67507
22,13.972372
23,31.350779
24,11.787766
25,16.64232
26,19.99793
27,158.62968
28,730.23334
29,1434.1853
30,1940.2225
31,2816.4346
32,3559.758
33,3940.0479
34,3857.8242
35,3734.549
36,3605.013
37,3456.0923
38,3567.0513
39,3175.1128
40,2151.1829
41,1159.0647
42,319.78464
43,29.744902
44,22.365805
45,17.013893
46,16.84518
47,36.426517
48,0.0
49,0.0
50,28.054985
51,316.60422
52,1020.3068
53,2059.6794
54,3027.966
55,3830.4272
56,4493.957
57,4948.503
58,5104.21
59,4618.5474
60,4058.619
61,3716.7766
62,3196.4155
63,2128.081
64,1235.3794
65,752.2477
66,334.42953
67,89.92901
68,0.0
69,0.4258328
70,2.876258
71,27.031563
72,9.992256
73,7.1666775
74,34.772106
75,139.57326
76,557.9079
77,1797.1694
78,2963.144
79,3806.8838
80,4329.001
81,4376.4253
82,3967.8875
83,3987.064
84,3414.8267
85,3248.2651
86,3555.9363
87,3045.365
88,2213.6038
89,899.2866
90,277.00046
91,103.906296
92,13.698186
93,15.222884
94,18.730103
95,31.484127
96,6.7294283
97,14.244674
98,87.66974
99,287.8342
100,793.373
101,1834.1096
102,2828.2554
103,3639.7231
104,4318.435
105,4623.811
106,4938.914
107,5081.3022
108,5020.777
109,4382.1255
110,3871.877
111,2987.1553
112,1997.4314
113,1014.25415
114,407.6576
115,145.07385
116,27.461409
117,9.925383
118,18.552164
119,48.583973
120,10.287379
121,0.0
122,112.71735
123,483.1099
124,1257.4716
125,2260.1824
126,2923.8325
127,3577.1555
128,3843.2214
129,3744.0981
130,3606.72
131,3451.1265
132,3316.088
133,3380.191
134,3391.8538
135,2799.1738
136,1735.9065
137,931.39844
138,452.15924
139,158.95364
140,20.365278
141,10.629999
142,18.842707
143,29.540668
144,0.0
145,0.0
146,120.48676
147,500.17786
148,1267.747
149,2241.152
150,3169.2969
151,3952.853
152,4353.655
153,4590.8594
154,4320.677
155,4132.286
156,3890.3093
157,3590.0217
158,3376.7988
159,2561.3628
160,1616.4847
161,888.68115
162,374.92233
163,106.096306
164,0.0
165,17.926697
166,13.686401
167,11.424135
168,8.193992
169,7.0482383
170,32.51289
171,57.538963
172,102.39253
173,213.43324
174,381.5684
175,578.94696
176,789.973
177,991.8324
178,1180.5321
179,1638.219
180,1944.0109
181,2408.9673
182,1890.7969
183,1833.4458
184,1272.3628
185,619.3039
186,294.56653
187,117.58618
188,37.61283
189,9.31783
190,0.0
191,38.507084
192,6.942465
193,7.13457
194,50.21676
195,135.8758
196,305.52692
197,582.4344
198,1459.9218
199,2485.1174
200,2910.2505
201,2916.8335
202,3263.243
203,3340.247
204,3273.494
205,2922.5945
206,2637.0933
207,1848.1814
208,704.6474
209,349.6376
210,161.15602
211,44.15302
212,13.217392
213,30.911499
214,28.339174
215,17.883713
216,2.7325513
217,13.946998
218,51.212692
219,87.61667
220,150.5172
221,354.03366
222,736.2064
223,1230.1388
224,1920.2385
225,1865.9634
226,1724.2622
227,1792.095
228,1435.2681
229,1138.1653
230,910.51855
231,698.4101
232,397.99384
233,250.67622
234,151.70905
235,40.37757
236,13.32623
237,9.760707
238,17.555088
239,9.50348
240,4.7165623
241,7.960573
242,53.35035
243,101.98486
244,242.64778
245,626.18256
246,1434.2144
247,2476.3003
248,2511.4937
249,1314.4523
250,1335.586
251,1890.5072
252,1803.3188
253,1534.2361
254,1364.862
255,1613.0156
256,1528.097
257,959.1046
258,461.42096
259,170.70146
260,39.892147
261,27.760727
262,25.720406
263,51.56987
264,6.734966
265,10.558004
266,75.00032
267,176.88686
268,380.89777
269,902.411
270,1527.141
271,1947.8342
272,2288.0122
273,2372.0015
274,2066.9136
275,2322.9612
276,2336.3188
277,1864.4148
278,1674.1359
279,1367.0503
